threshold,sensitivity,specificity,tp,tn,fp,fn
0.05,0.875,0.7435897435897436,56,29,10,8
0.1,0.828125,0.7948717948717948,53,31,8,11
0.15,0.828125,0.8205128205128205,53,32,7,11
0.2,0.796875,0.8461538461538461,51,33,6,13
0.25,0.796875,0.8717948717948718,51,34,5,13
0.3,0.796875,0.8974358974358975,51,35,4,13
0.35,0.796875,0.9230769230769231,51,36,3,13
0.4,0.796875,0.9230769230769231,51,36,3,13
0.45,0.796875,0.9230769230769231,51,36,3,13
0.5,0.796875,0.9230769230769231,51,36,3,13
0.55,0.78125,0.9230769230769231,50,36,3,14
0.6,0.78125,0.9230769230769231,50,36,3,14
0.65,0.78125,0.9230769230769231,50,36,3,14
0.7,0.765625,0.9230769230769231,49,36,3,15
0.75,0.75,0.9230769230769231,48,36,3,16
0.8,0.75,0.9230769230769231,48,36,3,16
0.85,0.75,0.9230769230769231,48,36,3,16
0.9,0.75,0.9487179487179487,48,37,2,16
0.95,0.734375,0.9743589743589743,47,38,1,17
